Company Name,Industry,Symbol,Weightage,ISIN Code
Adani Enterprises Ltd.,Metals & Mining,ADANIENT,0.49,INE423A01024
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,0.98,INE742F01042
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,0.7,INE437A01024
Asian Paints Ltd.,Consumer Durables,ASIANPAINT,0.94,INE021A01026
Axis Bank Ltd.,Financial Services,AXISBANK,3.46,INE238A01034
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,0.96,INE917I01010
Bajaj Finance Ltd.,Financial Services,BAJFINANCE,2.3,INE296A01032
Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV,0.99,INE918I01026
Bharat Electronics Ltd.,Capital Goods,BEL,1.39,INE263A01024
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,4.56,INE397D01024
Cipla Ltd.,Healthcare,CIPLA,0.66,INE059A01026
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA,0.85,INE522F01014
Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY,0.68,INE089A01031
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT,0.96,INE066A01021
Eternal Ltd.,Consumer Services,ETERNAL,1.54,INE758T01015
Grasim Industries Ltd.,Construction Materials,GRASIM,0.93,INE047A01021
HCL Technologies Ltd.,Information Technology,HCLTECH,1.28,INE860A01027
HDFC Bank Ltd.,Financial Services,HDFCBANK,11.83,INE040A01034
HDFC Life Insurance Company Ltd.,Financial Services,HDFCLIFE,0.67,INE795G01014
Hindalco Industries Ltd.,Metals & Mining,HINDALCO,1.17,INE038A01020
Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR,1.81,INE030A01027
ICICI Bank Ltd.,Financial Services,ICICIBANK,8.58,INE090A01021
ITC Ltd.,Fast Moving Consumer Goods,ITC,2.63,INE154A01025
Infosys Ltd.,Information Technology,INFY,3.97,INE009A01021
InterGlobe Aviation Ltd.,Services,INDIGO,0.95,INE646L01027
JSW Steel Ltd.,Metals & Mining,JSWSTEEL,1.04,INE019A01038
Jio Financial Services Ltd.,Financial Services,JIOFIN,0.73,INE758E01017
Kotak Mahindra Bank Ltd.,Financial Services,KOTAKBANK,2.66,INE237A01036
Larsen & Toubro Ltd.,Construction,LT,4.38,INE018A01030
Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M,2.64,INE101A01026
Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI,1.7,INE585B01010
Max Healthcare Institute Ltd.,Healthcare,MAXHEALTH,0.71,INE027H01010
NTPC Ltd.,Power,NTPC,1.58,INE733E01010
Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND,0.81,INE239A01024
Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC,1.58,INE213A01029
Power Grid Corporation of India Ltd.,Power,POWERGRID,1.18,INE752E01010
Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE,8.2,INE002A01018
SBI Life Insurance Company Ltd.,Financial Services,SBILIFE,0.8,INE123W01016
Shriram Finance Ltd.,Financial Services,SHRIRAMFIN,1.32,INE721A01047
State Bank of India,Financial Services,SBIN,4.34,INE062A01020
Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA,1.6,INE044A01036
Tata Consultancy Services Ltd.,Information Technology,TCS,2.35,INE467B01029
Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM,0.65,INE192A01025
Tata Motors Passenger Vehicles Ltd.,Automobile and Auto Components,TMPV,0.7,INE155A01022
Tata Steel Ltd.,Metals & Mining,TATASTEEL,1.53,INE081A01020
Tech Mahindra Ltd.,Information Technology,TECHM,0.75,INE669C01036
Titan Company Ltd.,Consumer Durables,TITAN,1.56,INE280A01028
Trent Ltd.,Consumer Services,TRENT,0.75,INE849A01020
UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO,1.31,INE481G01011
Wipro Ltd.,Information Technology,WIPRO,0.5,INE075A01022
